station_1,station_2,shared_neighbors,jaccard_similarity
Ragigudda,BTM Layout,['Jayadeva Hospital'],0.3333
Kengeri Bus Terminal,Jnanabharathi,['Pattanagere'],0.3333
Doddakallasandra,Thalaghattapura,['Vajrahalli'],0.3333
Konanakunte Cross,Vajrahalli,['Doddakallasandra'],0.3333
Nayandahalli,Deepanjali Nagar,['Mysore Road'],0.3333
Dasarahalli,Peenya Industry,['Jalahalli'],0.3333
Manjunath Nagar,Dasarahalli,['Nagasandra'],0.3333
Halasuru,Swami Vivekananda Road,['Indiranagar'],0.3333
Trinity,Indiranagar,['Halasuru'],0.3333
MG Road,Halasuru,['Trinity'],0.3333
Cubbon Park,Trinity,['MG Road'],0.3333
Vidhana Soudha,MG Road,['Cubbon Park'],0.3333
Sir M. Visveshwaraya Central College,Chickpete,['Nadaprabhu Kempegowda Station Majestic'],0.3333
Sir M. Visveshwaraya Central College,Sampige Road (Mantri Square),['Nadaprabhu Kempegowda Station Majestic'],0.3333
Sir M. Visveshwaraya Central College,Cubbon Park,['Vidhana Soudha'],0.3333
Krantivira Sangolli Rayanna Railway Station,Chickpete,['Nadaprabhu Kempegowda Station Majestic'],0.3333
Krantivira Sangolli Rayanna Railway Station,Sampige Road (Mantri Square),['Nadaprabhu Kempegowda Station Majestic'],0.3333
Krantivira Sangolli Rayanna Railway Station,Sir M. Visveshwaraya Central College,['Nadaprabhu Kempegowda Station Majestic'],0.3333
Hosahalli,Krantivira Sangolli Rayanna Railway Station,['Magadi Road'],0.3333
Vijayanagar,Magadi Road,['Hosahalli'],0.3333
Attiguppe,Hosahalli,['Vijayanagar'],0.3333
Deepanjali Nagar,Vijayanagar,['Attiguppe'],0.3333
Mysore Road,Attiguppe,['Deepanjali Nagar'],0.3333
Kengeri,Pattanagere,['Kengeri Bus Terminal'],0.3333
Chikkabidarakallu,Nagasandra,['Manjunath Nagar'],0.3333
Nallurhalli,Pattandur Agrahara,['Sri Sathya Sai Hospital'],0.3333
Pattanagere,Rajarajeshwari Nagar,['Jnanabharathi'],0.3333
Swami Vivekananda Road,Benniganahalli,['Baiyappanahalli'],0.3333
Baiyappanahalli,KR Pura (Krishnarajapuram),['Benniganahalli'],0.3333
Benniganahalli,Singayyanapalya,['KR Pura (Krishnarajapuram)'],0.3333
KR Pura (Krishnarajapuram),Garudacharpalya,['Singayyanapalya'],0.3333
Singayyanapalya,Hoodi,['Garudacharpalya'],0.3333
Garudacharpalya,Seetharampalya,['Hoodi'],0.3333
Jnanabharathi,Nayandahalli,['Rajarajeshwari Nagar'],0.3333
Pattandur Agrahara,Hopefarm Channasandra,['Kadugodi Tree Park'],0.3333
Indiranagar,Baiyappanahalli,['Swami Vivekananda Road'],0.3333
Hoodi,Kundalahalli,['Seetharampalya'],0.3333
Seetharampalya,Nallurhalli,['Kundalahalli'],0.3333
Kundalahalli,Sri Sathya Sai Hospital,['Nallurhalli'],0.3333
Sri Sathya Sai Hospital,Kadugodi Tree Park,['Pattandur Agrahara'],0.3333
Rashtreeya Vidyalaya Road (RV Road),Jaya Prakash Nagar (JP Nagar),['Banashankari'],0.25
Rashtreeya Vidyalaya Road (RV Road),Jayadeva Hospital,['Ragigudda'],0.25
South End Circle,Rashtreeya Vidyalaya Road (RV Road),['Jayanagar'],0.25
Magadi Road,Nadaprabhu Kempegowda Station Majestic,['Krantivira Sangolli Rayanna Railway Station'],0.2
Nadaprabhu Kempegowda Station Majestic,Srirampura,['Sampige Road (Mantri Square)'],0.2
Nadaprabhu Kempegowda Station Majestic,Krishna Rajendra Market,['Chickpete'],0.2
Nadaprabhu Kempegowda Station Majestic,Vidhana Soudha,['Sir M. Visveshwaraya Central College'],0.2
