station,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange
Naraina Vihar,2,0.008,0.0746,0.1487,0.0143,0.0036,0,False,West Delhi,Pink Line,False
Delhi Cantt,2,0.008,0.077,0.1521,0.0281,0.0036,0,False,South West Delhi,Pink Line,False
Durgabai Deshmukh South Campus,3,0.012,0.08,0.2087,0.0584,0.0051,0,False,South Delhi,Pink Line,False
Sir M. Vishweshwaraiah Moti Bagh,2,0.008,0.0791,0.1637,0.0334,0.0036,0,False,South Delhi,Pink Line,False
Bhikaji Cama Place,2,0.008,0.0787,0.1632,0.0281,0.0036,0,False,South Delhi,Pink Line,False
Sarojini Nagar,2,0.008,0.0788,0.1633,0.0395,0.0035,0,False,South Delhi,Pink Line,False
South Extension,2,0.008,0.0772,0.118,0.0561,0.0034,0,False,South Delhi,Pink Line,False
Vinobapuri,2,0.008,0.0744,0.0824,0.036,0.0035,0,False,South Delhi,Pink Line,False
Ashram,2,0.008,0.0721,0.0791,0.0221,0.0036,0,False,South Delhi,Pink Line,False
Sarai Kale Khan - Nizamuddin,2,0.008,0.0715,0.0779,0.0213,0.0035,0,False,South Delhi,Pink Line,False
Mayur Vihar Pocket 1,2,0.008,0.068,0.0304,0.0157,0.0036,0,False,East Delhi,Pink Line,False
Trilokpuri Sanjay Lake,2,0.008,0.0647,0.025,0.0076,0.0038,0,False,East Delhi,Pink Line,False
East Vinod Nagar,2,0.008,0.0632,0.0212,0.004,0.0038,0,False,East Delhi,Pink Line,False
Mandawali - West Vinod Nagar,2,0.008,0.0618,0.0185,0.0028,0.0038,0,False,East Delhi,Pink Line,False
IP Extension,2,0.008,0.0613,0.0175,0.0034,0.0038,0,False,East Delhi,Pink Line,False
Karkarduma Court,2,0.008,0.0636,0.0554,0.0092,0.0037,0,False,East Delhi,Pink Line,False
Krishna Nagar,2,0.008,0.0637,0.0555,0.0148,0.0037,0,False,East Delhi,Pink Line,False
East Azad Nagar,2,0.008,0.0646,0.0571,0.0292,0.0036,0,False,East Delhi,Pink Line,False
Jaffrabad,2,0.008,0.0626,0.0317,0.0286,0.0037,0,True,North East Delhi,Pink Line,False
Maujpur - Babarpur,2,0.008,0.059,0.0239,0.0135,0.004,0,True,North East Delhi,Pink Line,False
