station,degree,degree_centrality,closeness_centrality,betweenness_centrality,betweenness_phase1,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange,eigenvector_centrality
Jalahalli,2,0.0244,0.0543,0.1159,0.1402,0.0122,0,True,North Bengaluru,Green Line,False,0.0014
Peenya Industry,2,0.0244,0.057,0.1373,0.1655,0.0121,0,True,Peenya Industrial Zone,Green Line,False,0.0024
Peenya,2,0.0244,0.0599,0.1581,0.19,0.0121,0,True,Peenya Industrial Zone,Green Line,False,0.0041
Goraguntepalya,2,0.0244,0.0629,0.1783,0.2135,0.0121,0,True,North Bengaluru,Green Line,False,0.0071
Yeshwanthpur,2,0.0244,0.0662,0.1978,0.2361,0.012,0,True,North Bengaluru,Green Line,False,0.0123
Sandal Soap Factory,2,0.0244,0.0698,0.2168,0.2578,0.012,0,True,North Bengaluru,Green Line,False,0.0213
Mahalakshmi,2,0.0244,0.0736,0.2352,0.2786,0.012,0,True,North Bengaluru,Green Line,False,0.037
Rajajinagar,2,0.0244,0.0777,0.2529,0.2985,0.0119,0,True,Central West,Green Line,False,0.064
Kuvempu Road,2,0.0244,0.0822,0.2701,0.3175,0.0118,0,True,Central West,Green Line,False,0.1109
Srirampura,2,0.0244,0.087,0.2867,0.3356,0.0115,0,True,Central West,Green Line,False,0.1922
Sampige Road (Mantri Square),2,0.0244,0.0921,0.3026,0.3528,0.0111,0,True,Central Bengaluru,Green Line,False,0.3329
Chickpete,2,0.0244,0.0951,0.4628,0.3356,0.0111,0,True,Central Bengaluru,Green Line,False,0.3332
Krishna Rajendra Market,2,0.0244,0.0924,0.4553,0.3175,0.0115,0,True,Central Bengaluru,Green Line,False,0.1929
National College,2,0.0244,0.0897,0.4472,0.2985,0.0116,0,True,South Bengaluru,Green Line,False,0.1123
Lalbagh,2,0.0244,0.087,0.4384,0.2786,0.0117,0,True,South Bengaluru,Green Line,False,0.0664
South End Circle,2,0.0244,0.0842,0.4291,0.2578,0.0116,0,True,South Bengaluru,Green Line,False,0.0411
Jayanagar,2,0.0244,0.0814,0.4192,0.2361,0.0114,0,True,South Bengaluru,Green Line,False,0.0285
Rashtreeya Vidyalaya Road (RV Road),3,0.0366,0.0787,0.4447,0.2135,0.0164,0,True,South Bengaluru,Green Line; Yellow Line,True,0.0248
Banashankari,2,0.0244,0.0739,0.1581,0.19,0.0115,0,True,South Bengaluru,Green Line,False,0.0143
Jaya Prakash Nagar (JP Nagar),2,0.0244,0.0696,0.1373,0.1655,0.0118,0,True,South Bengaluru,Green Line,False,0.0083
Yelachenahalli,2,0.0244,0.0657,0.1159,0.1402,0.012,0,True,South Bengaluru,Green Line,False,0.0048
Konanakunte Cross,2,0.0244,0.062,0.0939,0.114,0.0123,0,True,South Bengaluru,Green Line,False,0.0028
Doddakallasandra,2,0.0244,0.0587,0.0714,0.0868,0.0126,0,True,South Bengaluru,Green Line,False,0.0016
Vajrahalli,2,0.0244,0.0556,0.0482,0.0588,0.0131,0,True,South Bengaluru,Green Line,False,0.0009
Thalaghattapura,2,0.0244,0.0528,0.0244,0.0299,0.0139,0,True,South Bengaluru,Green Line,False,0.0005
Silk Institute,1,0.0122,0.0502,0.0,0.0,0.0077,0,False,South Bengaluru,Green Line,False,0.0002
Ragigudda,2,0.0244,0.0749,0.2867,0.0,0.0114,0,True,South Bengaluru,Yellow Line,False,0.0143
Jayadeva Hospital,2,0.0244,0.0713,0.2701,0.0,0.0117,0,True,South Bengaluru,Yellow Line,False,0.0083
BTM Layout,2,0.0244,0.0679,0.2529,0.0,0.0119,0,True,South Bengaluru,Yellow Line,False,0.0048
Central Silk Board,2,0.0244,0.0648,0.2352,0.0,0.0119,0,True,South East Hub,Yellow Line,False,0.0028
Bommanahalli,2,0.0244,0.0618,0.2168,0.0,0.012,0,True,South East,Yellow Line,False,0.0016
Hongasandra,2,0.0244,0.059,0.1978,0.0,0.012,0,True,South East,Yellow Line,False,0.0009
Kudlu Gate,2,0.0244,0.0564,0.1783,0.0,0.0121,0,True,South East,Yellow Line,False,0.0005
Singasandra,2,0.0244,0.0539,0.1581,0.0,0.0121,0,True,South East,Yellow Line,False,0.0003
Hosa Road,2,0.0244,0.0515,0.1373,0.0,0.0121,0,True,South East,Yellow Line,False,0.0002
Beratena Agrahara,2,0.0244,0.0493,0.1159,0.0,0.0122,0,True,South East,Yellow Line,False,0.0001
Electronic City,2,0.0244,0.0473,0.0939,0.0,0.0124,0,True,Electronics City Tech Hub,Yellow Line,False,0.0001
Infosys Foundation Konappana Agrahara,2,0.0244,0.0453,0.0714,0.0,0.0126,0,True,Electronics City Tech Hub,Yellow Line,False,0.0
Huskur Road,2,0.0244,0.0435,0.0482,0.0,0.0131,0,True,Electronics City Tech Hub,Yellow Line,False,0.0
Hebbagodi,2,0.0244,0.0417,0.0244,0.0,0.014,0,True,Electronics City Tech Hub,Yellow Line,False,0.0
Bommasandra,1,0.0122,0.0401,0.0,0.0,0.0077,0,False,Industrial Suburb,Yellow Line,False,0.0
